Paper,Author,Title,Impact_variables,Year,Field,Empirical,Type,Method,Teaching_approach,Context
205,"Cachia, R., Ferrari, A., Ala-Mutka, K., Punie, Y.",Creative Learning and Innovative Teaching. Final Report on the Study on Creativity and Innovation in Education in the EU Member States, degree of student participation / activeness,2013,Sustainability,Empirical,Analysis of (inter)national practices,"Qualitative, Quantitative",Multiple,School
206,"Chang, C.-C., Kuo, C.-G., & Chang, Y.-H.",An Assessment Tool Predicts Learning Effectiveness for Project-Based Learning in Enhancing Education of Sustainability, degree of student participation / activeness,2018,Ethics/Business Ethics,Methodological,Evaluation method proposal,NA,Experiential education,HEI
207,"Christie, B.A., Miller, K.K., Cooke, R., White, J.G.",Environmental sustainability in higher education: how do academics teach?, degree of student participation / activeness,2013,University education in general,Empirical,Analysis of process of integrating ESD into education (countries/regions),Quantitative,Case studies,HEI
208,"Chung, Christopher",Comparison of Cross Culture Engineering Ethics Training Using the Simulator for Engineering Ethics Education, degree of student participation / activeness,2006,Sustainability,Empirical,Effectiveness testing single course,Quantitative,"Discussion-based teaching, Project-based learning",HEI
209,"Cincera, J., Krajhanzl J.",Eco-Schools: what factors influence pupils’ action competence for pro-environmental behaviour?, degree of student participation / activeness,2013,University education in general,Empirical,Effectiveness testing multiple courses,Quantitative,Self-directed learning,School
210,"Holfelder, A.-K.",Towards a sustainable future with education?, degree of student participation / activeness,2019,University education in general,Theoretical,Analysis of ESD models,NA,Self-directed learning,Unspecified
211,"Johnson, J., Sahatjian, Zh., Harkrider, L., MacDougall, A.,Connelly, Sh., Devenport, L., Mumford, M.",The Effects of Note-Taking and Review on Sensemaking and Ethical Decision Making, degree of student participation / activeness,2008,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Self-directed learning,HEI
212,"Martin Izzo, G., Langford, B.E., Vitell, S.",Investigating the Efficacy of Interactive Ethics Education: A Difference in Pedagogical Emphasis, degree of student participation / activeness,2009,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Multiple,Training
213,"Mogensen, F., Schnack, K.","The action competence approach and the ‘new’ discourses of education for sustainable development, competence and quality criteria", degree of student participation / activeness,2020,Ethics/Business Ethics,Theoretical,Framework proposal,NA,Multiple,Multiple
214,"Nousheen A., Yousuf Zai S.A., Waseem M., Khan S.A.",Education for sustainable development (ESD): Effects of sustainability education on pre-service teachers' attitude towards sustainable development (SD), degree of student participation / activeness,2014,Ethics/Business Ethics,Empirical,Effectiveness testing single course,"Qualitative, Quantitative",Creative learning,HEI
215,"O'Shea, E.",Self?directed learning in nurse education: a review of the literature, degree of student participation / activeness,2016,Environmental education,Literature Review,Effectiveness evaluation of teaching method (meta-analysis/review),NA,Multiple,HEI
216,"Örs, M.",The Self-Directed Learning Readiness Level of the Undergraduate Students of Midwife and Nurse in Terms of Sustainability in Nursing and Midwifery Education, degree of student participation / activeness,2015,Sustainability,Empirical,Analysis of student-related factors (single approach),Quantitative,Multiple,HEI
217,"Turner, D.A.",Theory of Education, degree of student participation / activeness,2020,Sustainability,Theoretical,Overview of multiple approaches,NA,Student-centered learning,Multiple
218,"Uitto, A., Boeve-de Pauw, J., Saloranta, S.",EDUCATIONAL FACTORS EXPLAINING 9TH GRADERS SELF-EFFICACY IN ECOLOGICAL SUSTAINABLE BEHAVIOURS, degree of student participation / activeness,2015,University education in general,Empirical,Effectiveness testing multiple schools,Quantitative,Active learning,School
219,"Wang, Ch.-H., Shannon, D.M., Ross, M.E.","Students’ characteristics, self-regulated learning, technology self-efficacy, and course outcomes in online learning", degree of student participation / activeness,2015,Ethics/Business Ethics,Empirical,Effectiveness testing single method/tool,Quantitative,Unspecified in the paper,HEI
220,"Baeten, M., Dochy, F., Struyven, K.",Enhancing students’ approaches to learning: the added value of gradually implementing case-based learning," degree of student participation / activeness, degree of experience of real-life situations",2010,University education in general,Empirical,Effectiveness evaluation of teaching method (meta-analysis/review),Quantitative,"Case studies, Lecture-based teaching",HEI
221,"Cotton, D., Bailey, I., Warren, M., Bissell, S.",Revolutions and Second-Best Solutions: Education for Sustainable Development in Higher Education," degree of student participation / activeness, degree of experience of real-life situations",2000,Sustainability,Empirical,Analysis of process of integrating ESD into education (single school),Qualitative,"Lecture-based teaching,Student-centered learning,Discussion-based teaching,Role-play,Project-based learning",HEI
222,"Jodoin, J.J.",Promoting language education for sustainable development: a program effects case study in Japanese higher education," degree of student participation / activeness, degree of experience of real-life situations",2008,Sustainability,Empirical,Effectiveness testing single course,"Qualitative, Quantitative","Lecture-based teaching, Active learning, Problem-based learning",HEI
223,"Meya, J.N., Eisenack, K.",Effectiveness of gaming for communicating and teaching climate change," degree of student participation / activeness, degree of experience of real-life situations",2014,Environmental education,Empirical,Effectiveness testing single method/tool,Quantitative,Gaming & Simulations,HEI
224,"Ritter, B.A.",Can Business Ethics be Trained? A Study of the Ethical Decision-making Process in Business Students," degree of student participation / activeness, degree of experience of real-life situations",2004,Ethics/Business Ethics,Empirical,Effectiveness testing single course,"Qualitative, Quantitative",Case studies,HEI
225,"Leary, Heather M.",Self-Directed Learning in Problem-Based Learning Versus Traditional Lecture-Based Learning: A Meta-Analysis," degree of student participation / activeness, degree of experience of real-life situations, degree of integration between theory and practice",2001,University education in general,Empirical,Effectiveness evaluation of teaching method (meta-analysis/review),Meta-analysis,"Self-directed learning,Problem-based learning,Lecture-based teaching",Multiple
226,"Cebrián, G., Palau, R., Mogas, J.",The Smart Classroom as a Means to the Development of ESD Methodologies," degree of student participation / activeness, degree of experience of real-life situations, degree of integration between theory and practice, degree of inter-/transdisciplinarity, degree of stakeholder integration",2019,Sustainability,Theoretical,Framework proposal,NA,Multiple,Multiple
227,"Christensen, L.J., Peirce, E., Hartman, L.P. et al.","Ethics, CSR, and Sustainability Education in the Financial Times Top 50 Global Business Schools: Baseline Data and Future Research Directions"," degree of student participation / activeness, degree of experience of real-life situations, degree of nature-related experiences",1999,"CSR, Ethics/Business Ethics, Sustainability",Empirical,Analytic description/comparison multiple courses,"Qualitative, Quantitative",Multiple,HEI
228,"Figueiro, P.S., Raufflet, E.",Sustainability in higher education: a systematic review with focus on management education," degree of student participation / activeness, degree of experience of real-life situations, degree of stakeholder integration",2017,Sustainability,Literature Review,Overview of multiple approaches,NA,Multiple,HEI
229,Stevenson Robert B.,Schooling and environmental/sustainability education: from discourses of policy and practice to discourses of professional learning," degree of student participation / activeness, degree of experience of real-life situations, degree of stakeholder integration",2019,Environmental education,Theoretical,Analysis of process of integrating ESD into education (countries/regions),NA,Active learning,School
230,"Konrad, Th., Wiek, A., Barth, M.",Embracing conflicts for interpersonal competence development in project-based sustainability courses," degree of student participation / activeness, degree of experience of real-life situations, degree of stakeholder integration, degree of inter-/transdisciplinarity, degree of student collaboration /  group work",2020,Sustainability,Empirical,Effectiveness testing single course,Qualitative,Project-based learning,School
231,"Valentine, S., & Fleischman, G.",Ethics Training and Businesspersons? Perceptions of Organizational Ethics," degree of student participation / activeness, degree of experience of real-life situations, degree of student collaboration /  group work, degree of student (self-)reflection, degree of integration between theory and practice",2012,Ethics/Business Ethics,Empirical,Effectiveness testing multiple courses,Quantitative,Multiple,Training
232,"Hsu, Sh.-J.",The Effects of an Environmental Education Program on Responsible Environmental Behavior and Associated Environmental Literacy Variables in Taiwanese College Students," degree of student participation / activeness, degree of experience of real-life situations, degree of student emotional involvement",2008,Environmental education,Empirical,Effectiveness testing single course,Quantitative,"Active learning, Problem-based learning",HEI
233,"Cebrián, G.; Hernandez, A.; Segalas, J.",Assessment of sustainability competencies: a literature review and future pathways for ESD research and practice," degree of student participation / activeness, degree of integration between theory and practice",2016,Sustainability,Literature Review,Review of sustainability competencies and/or their evaluations (general),NA,Multiple,HEI
234,"Filho W.L., Shiel C., do Paço A.",Implementing and Operationalising Integrative Approaches to Sustainability in Higher Education: the role of project-oriented learning," degree of student participation / activeness, degree of integration between theory and practice, degree of experience of real-life situations",2016,Sustainability,"Empirical, Theoretical",Analysis of process of integrating ESD into education (single approach),Qualitative,Project-based learning,HEI
235,"Nasibulina, A.",Education for Sustainable Development and Environmental Ethics," degree of student participation / activeness, degree of inter-/transdisciplinarity",2020,"Environmental education, Sustainability",Theoretical,Analysis of process of integrating ESD into education (countries/regions),NA,Multiple,Multiple
236,"MacVaugh, J., & Norton, M.",Introducing sustainability into business education contexts using active learning," degree of student participation / activeness, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of integration between theory and practice",2002,Sustainability,Empirical,Analytic description/comparison multiple courses,Qualitative,Active learning,HEI
237,"Barth, M., Godemann, J., Rieckmann, M., & Stoltenberg, U.",Developing Key Competencies for Sustainable Development in Higher Education," degree of student participation / activeness, degree of inter-/transdisciplinarity, degree of student collaboration /  group work, degree of experience of real-life situations",2010,Sustainability,Empirical,Effectiveness evaluation of teaching methods,Qualitative,Problem-based learning,HEI
238,"Purg, P., & Zakrajšek, S.",New Technologies for Sustainable Teaching and Learning: A Case Study from Slovenia on Diminishing Student Workload and Increasing Motivation Through ICT," degree of student participation / activeness, degree of stakeholder integration",2003,Sustainability,Empirical,Analysis of (inter)national practices,Qualitative,Multiple,Unspecified
239,"Balsiger, J., Förster, R., Mader, C., Nagel, U., Sironi, H., Wilhelm, S., Zimmermann, A.B.",Transformative Learning and Education for Sustainable Development," degree of student participation / activeness, degree of student (self-)reflection",2019,University education in general,Theoretical,Overview of a single approach,NA,Service learning,Multiple
240,"Jones, S.W., Hof, D.D., Tillman, D.R.",ASSESSING GLOBAL SERVICE-LEARNING: A MIXED-METHODS APPROACH TO EVALUATING STUDENTS’ INTERCULTURAL DEVELOPMENT," degree of student participation / activeness, degree of student (self-)reflection",2014,Sustainability,Empirical,Effectiveness testing single course,"Qualitative, Quantitative",Transformative learning,HEI
241,"Wiek, A., Withycombe, L., Redman, Ch.L.",Key competencies in sustainability: a reference framework for academic program development," degree of student participation / activeness, degree of student (self-)reflection, degree of student collaboration /  group work",2017,Sustainability,Literature Review,Review of sustainability competencies and/or their evaluations (general),NA,Multiple,Multiple
242,"Carpenter, J.M.",EFFECTIVE TEACHING METHODS FOR LARGE CLASSES," degree of student participation / activeness, degree of student collaboration /  group work",2013,University education in general,Empirical,Effectiveness testing multiple methods/tools,Quantitative,"Lecture-based teaching, Discussion-based teaching, Jigsaw, Case studies, Project-based learning",HEI
243,Mintz Keren & Tal Tali,The place of content and pedagogy in shaping sustainability learning outcomes in higher education," degree of student participation / activeness, degree of student collaboration /  group work",2018,Sustainability,Empirical,Effectiveness testing multiple courses,"Qualitative, Quantitative","Active learning,Lecture-based teaching",HEI
244,"Watson, M.K., Pelkey, J., Noempirical, C., Rodgers, M.",Assessing Impacts of a LearningCycle-Based Module on Students’ Conceptual Sustainability Knowledge using Concept Maps and Surveys," degree of student participation / activeness, degree of student collaboration /  group work",2015,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Collaborative/peer learning,HEI
245,"Yli-Panula, E.; Jeronen, E.; Lemmetty, P.",Teaching and Learning Methods in Geography Promoting Sustainability," degree of student participation / activeness, degree of student collaboration /  group work",2016,Sustainability,Literature Review,Effectiveness evaluation of teaching method (meta-analysis/review),Qualitative,"Place-based learning,Outdoor education,Experiential education,Collaborative/peer learning,Problem-based learning",Multiple
246,"Sinakou, E., Boeve-de Pauw, J., Van Petegem, P.",Exploring the concept of sustainable development within education for sustainable development: implications for ESD research and practice," degree of student participation / activeness, degree of student collaboration /  group work, degree of experience of real-life situations, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of integration between theory and practice, degree of stakeholder integration",2018,Sustainability,"Literature Review, Theoretical",Framework proposal,NA,Multiple,Multiple
247,"Stephens, J. C., Hernandez, M. E., Román, M., Graham, A. C., & Scholz, R. W.",Higher education as a change agent for sustainability in different cultures and contexts," degree of student participation / activeness, degree of student collaboration /  group work, degree of integration between theory and practice",2016,Sustainability,Literature Review,Analysis of (inter)national practices,NA,Multiple,HEI
248,"Zsóka, Á., Szerényi, Z. M., Széchy, A., & Kocsis, T.","Greening due to environmental education? Environmental knowledge, attitudes, consumer behavior and everyday pro-environmental activities of Hungarian high school and university students"," degree of student participation / activeness, degree of student collaboration /  group work, degree of integration between theory and practice",2013,Environmental education,Empirical,Effectiveness testing multiple schools,Quantitative,Multiple,Multiple
249,"Cotton, D., Winter, J.",‘It´s Not Just Bits of Paper and Light Bulbs’: A Review of Sustainability Pedagogies and Their Potential for Use in Higher Education," degree of student participation / activeness, degree of student collaboration /  group work, degree of integration between theory and practice, degree of experience of real-life situations, degree of student emotional involvement, degree of stakeholder integration",2017,Sustainability,"Literature Review, Theoretical",Overview of multiple approaches,NA,"Student-centered learning,Active learning,Collaborative/peer learning,Problem-based learning,Transformative learning,Role-play,Case studies,Discussion-based teaching",HEI
250,"Evans, T.L.",Competencies and Pedagogies for Sustainability Education: A Roadmap for Sustainability Studies Program Development in Colleges and Universities," degree of student participation / activeness, degree of student collaboration /  group work, degree of integration between theory and practice, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of experience of real-life situations",2017,Sustainability,Literature Review,Overview of multiple approaches,Meta-analysis,Multiple,HEI
251,"Cebrián, Gisela; Junyent, Mercè and Mulà, Ingrid",Competencies in Education for Sustainable Development: Emerging Teaching and Research Developments," degree of student participation / activeness, degree of student collaboration /  group work, degree of inter-/transdisciplinarity",1989,Sustainability,Editorial,Review of sustainability competencies and/or their evaluations (general),NA,Multiple,Multiple
252,"Dlouha, J., Burandt, S.",Design and evaluation of learning processes in an international sustainability oriented study programme. In search of a new educational quality and assessment method," degree of student participation / activeness, degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of stakeholder integration",2013,Sustainability,Empirical,Effectiveness testing single course,Quantitative,"Lecture-based teaching, Discussion-based teaching, Problem-based learning, Case studies",HEI
253,"Sinakou, E.; Donche, V.; Boeve-de Pauw, J.; Van Petegem, P.",Designing Powerful Learning Environments in Education for Sustainable Development: A Conceptual Framework," degree of student participation / activeness, degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of stakeholder integration",2019,Sustainability,Theoretical,Framework proposal,NA,Action-Oriented Teaching,Multiple
254,"Segalàs, J., Ferrer-Balas, D., & Mulder, K. F.",What do engineering students learn in sustainability courses? The effect of the pedagogical approach," degree of student participation / activeness, degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of stakeholder integration, degree of integration between theory and practice",2004,Sustainability,Empirical,Effectiveness testing multiple courses,Quantitative,"Active learning,Collaborative/peer learning",HEI
255,"McWhirter, Nathan & Tripp Shealy",Case-based flipped classroom approach to teach sustainable infrastructure and decision-making," degree of student participation / activeness, degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of experience of real-life situations, degree of stakeholder integration",2002,Sustainability,Empirical,Effectiveness testing single course,"Qualitative, Quantitative",Flipped classroom,HEI
256,"Mulder, K.F., Ferrer, D., Segalas Coral, J., Kordas, O., Nikiforovich, E. and Pereverza, K.",Motivating students and lecturers for education in sustainable development," degree of student participation / activeness, degree of student collaboration /  group work, degree of student (self-)reflection",2003,Sustainability,Empirical,Effectiveness testing multiple courses,"Qualitative, Quantitative","Project-based learning,Case studies,Student-centered learning,Collaborative/peer learning,Experiential education,Problem-based learning,Role-play",HEI
257,"Ostrow Michel, Jessica",AN ASSESSMENT OF TEACHING AND LEARNING ABOUT SUSTAINABILITY ACROSS THE HIGHER EDUCATION CURRICULUM. Doctoral Dissertation," degree of student participation / activeness, degree of student collaboration /  group work, degree of student (self-)reflection, degree of experience of real-life situations, degree of integration between theory and practice",2003,Sustainability,Empirical,Effectiveness testing single school,Quantitative,Lecture-based teaching,HEI
258,"Mitchell, A., Petter, S., & Harris, A. L.",Learning by doing: Twenty successful active learning exercises for information systems courses," degree of student participation / activeness, degree of student collaboration /  group work, degree of student (self-)reflection, degree of experience of real-life situations, degree of stakeholder integration",2016,University education in general,Literature Review,Review of best practices (single method),NA,Active learning,HEI
259,Yi Lu & Kristina T. Lambright,Looking Beyond the Undergraduate Classroom: Factors Influencing Service Learning's Effectiveness at Improving Graduate Students’ Professional Skills," degree of student participation / activeness, degree of student collaboration /  group work, degree of student (self-)reflection, degree of stakeholder integration",2005,University education in general,Empirical,Effectiveness testing multiple courses,Quantitative,Service learning,HEI
260,"Disterheft, A., Caeiro, S., Azeiteiro, U.M., Filho, W.L.",Sustainable universities e a study of critical success factors for participatory approaches," degree of student participation / activeness, degree of student collaboration /  group work, degree of student emotional involvement",2013,Sustainability,Empirical,Effectiveness evaluation of teaching method,Qualitative,Multiple,HEI
261,"Lozano, R., Merrill, M. Y., Sammalisto, K., Ceulemans, K., Lozano, F. J.",Connecting Competences and Pedagogical Approaches for Sustainable Development in Higher Education: A Literature Review and Framework Proposal," degree of student participation / activeness, degree of student collaboration /  group work, degree of student emotional involvement, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of experience of real-life situations, degree of stakeholder integration, degree of integration between theory and practice",2017,Sustainability,"Literature Review, Theoretical",Overview of multiple approaches,NA,"Case studies,Team-teaching,Lecture-based teaching,Mind and concept maps,Problem-based learning,Project-based learning,Service learning,Collaborative/peer learning,Transformative learning,Place-based learning,Supply chain/Life Cycle Analysis,Traditional ecological knowledge",HEI
262,UNESCO,Education for Sustainable Development Goals: learning objectives," degree of student participation / activeness, degree of student collaboration /  group work, degree of student emotional involvement, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of experience of real-life situations, degree of stakeholder integration, degree of integration between theory and practice",2019,Sustainability,Theoretical,Framework proposal,NA,"Student-centered learning,Case studies,Project-based learning,Collaborative/peer learning,Problem-based learning,Role-play,Deliberative approach,Mind and concept maps,Lecture-based teaching",Multiple
263,"Woo, Yoke Ling and Mokhtar, Mazlin and Komoo, Ibrahim and Azman, Norzaini",Education for Sustainable Development: A Review of Characteristics of Sustainability Curriculum," degree of student participation / activeness, degree of student collaboration /  group work, degree of student emotional involvement, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of experience of real-life situations, degree of stakeholder integration, degree of integration between theory and practice",2018,Sustainability,"Literature Review, Theoretical",Analysis of ESD models,NA,"Student-centered learning,Service learning,Case studies,Role-play,Experiential education,Place-based learning,Supply chain/Life Cycle Analysis,Creative learning,Transformative learning,Collaborative/peer learning",HEI
264,"Wals, A. E. J., & Benavot, A.",Can we meet the sustainability challenges? The role of education and lifelong learning," degree of student participation / activeness, degree of student collaboration /  group work, degree of student emotional involvement, degree of student (self-)reflection, degree of experience of real-life situations, degree of nature-related experiences, degree of stakeholder integration, degree of integration between theory and practice",2017,Sustainability,"Literature Review, Theoretical",Theoretical argument for approach effectiveness (general),NA,"Place-based learning,Practical pedagogy",Multiple
265,"Slavic, G. M. & Zimbardo, P. G.","Transformational Teaching: Theoretical Underpinnings, Basic Principles, and Core Methods"," degree of student participation / activeness, degree of student collaboration /  group work, degree of student emotional involvement, degree of student (self-)reflection, degree of integration between theory and practice",2019,University education in general,Theoretical,Framework proposal,NA,Transformative learning,Multiple
266,Mintz Keren & Tal Tali,Education for sustainability in higher education: a multiple-case study of three courses," degree of student participation / activeness, degree of student emotional involvement, degree of experience of real-life situations, degree of nature-related experiences",2013,Sustainability,Empirical,Effectiveness testing multiple courses,"Qualitative, Quantitative","Active learning,Lecture-based teaching,Outdoor education",HEI
267,"Greig, A.; Priddle, J.",Mapping Students’ Development in Response to Sustainability Education: A Conceptual Model," degree of student participation / activeness, degree of student emotional involvement, degree of inter-/transdisciplinarity, degree of student (self-)reflection",2019,Sustainability,Theoretical,Framework proposal,NA,"Transformative learning,Flipped classroom,Collaborative/peer learning",HEI
268,"Hockerts, K.",THE EFFECT OF EXPERIENTIAL SOCIAL ENTREPRENEURSHIP EDUCATION ON INTENTION FORMATION IN STUDENTS," degree of student participation / activeness, degree of student emotional involvement, degree of student (self-)reflection",2011,CSR,Empirical,Effectiveness testing multiple courses,Quantitative,Experiential education,HEI
269,"Setó-Pamies, D., & Papaoikonomou, E.","A Multi-level Perspective for the Integration of Ethics, Corporate Social Responsibility and Sustainability (ECSRS) in Management Education"," degree of student participation / activeness, degree of student emotional involvement, degree of student (self-)reflection, degree of experience of real-life situations, degree of nature-related experiences, degree of integration between theory and practice",2019,"CSR, Ethics/Business Ethics, Sustainability",Theoretical,Framework proposal,NA,Multiple,HEI
